	V1	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
1	324.29638	790	755	748	753	744	812	759	748	745	746	742	746	745	746	740	743	744
2	324.83296	794	759	751	752	747	803	764	736	744	746	742	738	738	742	739	744	746
3	325.3696	795	748	751	748	752	821	758	742	741	741	742	741	744	736	748	747	733
4	325.90628	789	755	750	754	747	813	758	739	739	740	740	743	741	747	741	746	737
5	326.44301	799	751	752	754	748	804	767	739	744	743	746	746	739	742	746	745	739
6	326.97979	783	749	759	754	755	798	762	742	747	743	743	740	747	737	743	737	742
7	327.51662	793	762	751	757	756	799	760	738	739	740	746	741	733	742	742	739	746
8	328.05349	787	754	767	768	749	799	766	748	745	754	746	742	742	741	752	742	735
9	328.59042	787	752	755	759	755	798	759	746	746	749	747	739	737	739	742	740	735
10	329.12739	796	753	755	747	748	804	761	740	742	742	741	744	745	748	740	738	744
11	329.6644	790	751	752	758	755	819	764	744	741	740	741	741	737	748	743	736	747
12	330.20147	794	756	750	754	752	805	761	735	748	738	736	743	747	737	745	740	747
13	330.73858	787	749	758	760	757	801	753	751	739	748	745	740	743	744	742	749	746
14	331.27574	786	750	756	751	747	804	751	743	743	745	746	747	743	748	743	744	739
15	331.81295	789	754	750	749	754	809	767	743	749	743	740	737	742	741	739	740	735
16	332.3502	792	754	749	759	758	812	763	743	748	747	746	746	741	741	745	738	745
17	332.88751	792	752	755	753	755	814	763	744	739	746	740	741	740	743	743	740	747
18	333.42486	781	749	757	754	754	793	757	744	745	747	735	740	736	739	741	744	748
19	333.96226	796	749	758	756	756	796	765	746	743	746	744	739	741	744	738	745	740
20	334.4997	799	763	754	759	755	811	759	741	743	744	743	740	738	749	742	750	737
21	335.0372	796	754	755	754	760	810	762	744	743	743	750	746	739	743	744	743	742
22	335.57474	792	752	751	756	760	801	762	738	736	744	739	744	739	739	740	745	741
23	336.11233	782	753	745	750	750	808	767	742	737	744	741	737	742	740	739	740	740
24	336.64996	800	755	754	755	749	799	758	743	745	744	747	745	746	749	746	746	740
25	337.18765	791	757	750	759	755	801	761	749	746	744	734	747	740	743	741	746	749
