	V1	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
1	324.29638	816	837	801	797	780	771	758	750	743	746	745	745	747	750	747	745
2	324.83296	818	849	813	808	784	771	759	760	746	750	757	747	751	746	744	744
3	325.3696	807	827	800	803	791	762	759	762	750	747	753	744	744	741	739	748
4	325.90628	823	839	801	805	784	775	764	756	745	744	749	745	739	747	741	752
5	326.44301	815	836	799	802	790	769	764	754	748	756	742	743	740	746	747	738
6	326.97979	807	817	809	801	785	766	761	758	748	752	754	750	749	742	746	750
7	327.51662	826	819	792	821	779	763	760	753	742	741	757	753	746	750	745	747
8	328.05349	815	829	800	817	787	761	764	752	753	747	748	744	743	741	748	742
9	328.59042	824	823	793	807	772	769	752	759	747	747	751	743	744	747	744	744
10	329.12739	825	830	794	809	785	771	766	750	754	748	748	755	747	740	740	747
11	329.6644	817	824	799	816	785	773	763	749	750	749	747	744	747	751	751	741
12	330.20147	811	835	798	817	786	765	759	748	743	746	754	745	744	743	742	746
13	330.73858	818	830	807	816	787	767	760	747	755	745	752	750	742	754	750	747
14	331.27574	810	846	811	815	785	768	765	752	752	748	760	743	744	750	743	745
15	331.81295	814	835	812	811	780	771	762	756	745	747	743	748	747	746	745	748
16	332.3502	825	825	786	814	782	770	757	750	747	743	762	747	751	743	751	748
17	332.88751	822	830	797	808	784	766	764	749	750	756	749	752	743	752	749	754
18	333.42486	824	836	822	812	784	768	765	752	752	746	747	748	743	750	747	753
19	333.96226	815	833	799	823	778	767	754	759	745	748	750	747	742	748	743	741
20	334.4997	824	839	793	813	794	765	759	755	743	754	752	742	747	747	743	742
21	335.0372	817	816	798	808	788	768	759	758	753	744	746	744	747	745	744	744
22	335.57474	826	832	806	797	782	772	758	749	749	748	750	747	750	751	746	754
23	336.11233	825	848	809	816	783	763	763	756	748	752	754	745	746	747	745	749
24	336.64996	830	839	815	813	791	776	758	755	748	750	759	750	741	741	744	744
25	337.18765	824	840	819	817	788	773	760	752	748	748	747	748	746	749	750	750
26	337.72538	821	841	825	810	794	767	765	760	747	744	751	741	746	755	746	747
27	338.26316	829	847	811	804	781	765	760	752	754	748	754	754	744	746	752	748
28	338.80099	825	838	807	808	778	761	759	757	748	750	745	743	742	746	743	752
29	339.33886	827	846	805	813	788	770	756	751	749	747	746	743	748	748	750	746
30	339.87679	813	843	806	818	793	772	762	757	745	751	748	753	753	747	744	751
31	340.41476	814	830	805	811	801	770	763	748	744	751	751	748	751	747	748	743
32	340.95277	821	839	804	808	792	773	759	745	749	750	752	747	743	749	754	750
33	341.49084	812	834	810	813	780	768	760	748	752	751	750	744	743	754	742	745
34	342.02895	821	835	812	827	782	763	757	759	746	754	750	742	749	742	749	754
35	342.56711	821	838	825	820	790	779	755	762	745	747	747	747	747	749	748	746
36	343.10532	825	829	808	810	788	773	761	753	748	747	750	748	750	749	753	746
37	343.64358	829	824	808	817	796	773	755	754	749	740	750	748	740	753	745	742
38	344.18188	826	838	819	809	792	774	760	747	748	748	749	759	741	747	750	752
39	344.72024	822	832	818	823	782	770	763	756	743	749	747	751	752	744	749	752
40	345.25864	834	830	810	818	793	772	760	749	748	756	762	744	750	748	741	751
41	345.79708	827	831	807	813	786	771	754	748	757	752	751	746	743	750	743	749
42	346.33558	835	834	797	810	803	786	759	761	742	748	755	750	751	744	739	755
43	346.87412	825	837	810	812	796	768	757	755	747	750	757	741	745	750	749	744
44	347.41271	819	847	825	807	796	779	764	753	745	753	755	745	742	753	749	747
45	347.95135	825	837	818	831	794	768	768	760	750	751	751	749	746	745	745	747
46	348.49003	820	842	820	809	783	773	769	760	744	752	750	749	745	742	741	747
47	349.02877	817	847	810	817	798	781	766	760	756	753	759	745	749	747	744	748
48	349.56755	818	831	807	822	803	765	767	752	754	751	749	744	744	755	745	752
49	350.10638	834	850	806	817	790	767	763	755	748	743	760	745	752	744	751	747
50	350.64525	832	852	815	827	794	770	761	761	745	754	758	745	750	745	748	748
51	351.18418	816	860	809	820	796	768	764	758	751	741	753	748	746	748	749	751
52	351.72315	834	851	821	815	791	773	763	757	754	748	759	750	749	746	746	748
53	352.26217	836	846	811	815	793	773	761	752	743	752	754	749	744	746	743	762
54	352.80123	823	850	806	821	786	776	757	753	751	750	753	761	752	752	741	758
55	353.34035	836	846	812	818	801	768	767	758	762	754	758	760	749	754	748	757
56	353.87951	841	841	812	823	802	778	767	752	751	761	754	746	749	742	753	749
57	354.41872	833	843	810	821	793	778	762	757	752	751	754	741	750	742	746	747
58	354.95798	824	844	827	818	804	777	766	757	754	743	752	745	751	753	744	750
59	355.49728	836	837	810	827	789	781	758	756	741	750	754	748	742	751	746	749
60	356.03663	817	849	815	818	801	781	761	757	751	751	752	746	752	750	749	757
61	356.57604	849	860	828	825	801	777	770	754	753	756	754	742	751	749	750	747
62	357.11548	840	847	820	835	800	778	772	766	761	755	756	747	748	758	757	752
63	357.65498	852	862	822	821	804	780	767	751	752	752	755	755	749	758	754	758
64	358.19452	829	845	820	823	803	777	762	761	744	755	755	744	752	751	749	749
65	358.73411	835	838	816	822	803	782	756	755	745	752	752	746	758	758	755	752
66	359.27375	839	851	820	825	797	767	752	760	750	747	762	746	747	754	749	754
67	359.81344	853	854	829	833	807	775	760	750	754	757	759	745	748	755	750	749
68	360.35317	843	851	836	826	794	774	766	750	751	756	749	755	747	746	749	745
69	360.89295	835	861	816	838	812	779	762	753	747	756	752	751	751	748	745	756
70	361.43278	838	856	837	827	793	782	771	754	743	752	758	747	745	753	749	752
71	361.97266	837	852	819	831	799	775	767	760	760	763	754	743	748	749	741	753
72	362.51259	838	862	822	828	799	780	776	759	748	746	758	755	746	755	748	748
73	363.05256	843	859	829	842	804	777	763	753	752	752	751	751	745	757	748	756
74	363.59258	836	864	833	825	803	776	767	760	751	760	752	747	753	748	755	750
75	364.13265	835	872	820	822	800	782	770	757	751	746	749	754	751	758	748	756
76	364.67276	849	853	838	828	803	774	769	754	751	753	757	747	747	747	753	750
77	365.21292	863	864	831	832	804	782	766	757	750	748	753	752	750	758	753	747
78	365.75314	841	883	831	829	795	784	773	758	754	761	751	745	758	753	752	757
79	366.29339	850	870	829	831	806	781	768	757	750	748	756	745	743	753	747	748
80	366.8337	842	850	824	837	795	778	759	755	743	756	751	756	757	749	754	752
81	367.37405	853	878	825	842	789	774	765	763	745	754	759	750	749	757	750	754
82	367.91446	840	871	842	829	797	781	774	762	756	760	752	747	758	758	750	756
83	368.4549	860	875	838	842	812	786	770	760	752	753	756	749	748	756	761	755
84	368.9954	843	850	829	827	811	789	768	764	748	752	765	750	756	752	748	751
85	369.53595	850	865	838	841	815	779	764	755	748	751	754	755	749	750	754	753
86	370.07654	847	874	834	842	811	785	773	762	753	760	763	742	750	757	750	748
87	370.61718	864	868	832	847	811	772	768	757	758	752	756	749	747	758	748	752
88	371.15786	857	862	829	852	812	785	770	759	747	751	754	752	751	754	759	750
89	371.6986	860	886	843	836	812	790	767	760	749	760	755	755	742	755	753	744
90	372.23938	858	869	840	839	797	800	768	767	748	752	753	749	747	758	752	761
91	372.78021	869	880	838	835	805	782	759	764	747	755	759	752	751	760	755	759
92	373.32109	857	898	848	852	816	791	770	762	758	755	755	752	756	767	746	750
93	373.86202	852	876	846	851	824	773	766	760	749	759	750	745	746	755	752	754
94	374.40299	863	883	829	864	812	791	771	761	746	758	759	750	754	755	746	752
95	374.94401	865	887	842	851	812	789	768	758	753	754	763	747	747	754	753	756
96	375.48508	879	892	851	852	816	798	770	764	750	753	762	747	759	755	752	759
97	376.0262	872	881	842	870	821	794	776	762	744	762	760	750	752	745	752	747
98	376.56736	876	899	851	869	806	789	774	763	752	760	749	756	749	759	755	759
99	377.10857	876	891	864	883	836	794	769	768	758	759	756	752	752	755	747	758
