	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
1	324.1504	939	885	868	846	811	821	792	763	770	790	767	760	771	764
2	324.69607	901	899	856	841	799	816	786	765	773	777	778	769	766	764
3	325.24175	929	885	857	837	820	827	783	763	774	791	768	758	765	765
4	325.78745	925	900	858	828	819	814	783	760	767	791	767	767	752	748
5	326.33316	925	897	870	833	803	834	794	756	773	778	768	759	765	756
6	326.8789	914	898	851	827	818	818	787	763	760	782	769	768	764	767
7	327.42465	946	899	863	833	806	828	785	767	779	769	771	764	762	749
8	327.97042	928	888	852	841	802	813	786	761	765	773	770	772	764	762
9	328.51621	929	901	863	835	807	824	784	762	760	773	767	767	768	761
10	329.06202	934	891	848	845	814	822	795	759	763	776	780	768	756	759
11	329.60785	935	899	863	832	805	839	784	767	763	778	777	769	769	756
12	330.15369	912	903	855	849	799	833	801	762	772	771	771	767	766	760
13	330.69955	946	895	865	830	826	825	795	773	769	788	773	765	759	759
14	331.24543	927	884	864	840	811	813	784	770	773	789	777	765	762	765
15	331.79133	937	897	863	831	819	811	789	767	767	773	761	765	764	762
16	332.33725	940	896	862	853	806	830	788	767	758	777	772	766	767	764
17	332.88318	933	903	859	819	812	818	782	764	755	779	774	779	765	759
18	333.42913	925	891	855	834	817	823	795	766	771	788	771	764	760	766
19	333.9751	935	892	865	850	806	827	792	773	774	781	768	765	773	753
20	334.52109	942	903	867	846	805	824	795	773	770	789	773	771	766	767
21	335.0671	928	930	863	837	819	820	792	771	772	787	779	771	763	758
22	335.61312	946	914	854	840	813	826	806	758	767	781	777	766	762	768
23	336.15917	958	904	857	846	813	814	787	767	780	788	773	762	760	758
24	336.70523	948	893	871	829	814	808	800	766	774	775	771	768	761	769
25	337.2513	947	898	878	848	816	830	789	759	773	787	771	764	763	751
26	337.7974	940	911	870	846	813	824	800	769	766	782	778	774	764	767
27	338.34352	925	908	863	837	821	819	798	774	771	778	766	770	763	762
28	338.88965	952	895	867	837	827	833	784	764	764	788	775	771	767	763
29	339.4358	928	902	866	839	805	826	791	768	765	782	774	776	768	758
30	339.98197	966	898	872	845	822	829	799	762	780	787	775	763	769	775
31	340.52816	956	891	863	836	804	830	789	776	769	789	776	767	763	763
32	341.07436	951	896	863	837	807	831	794	764	782	792	765	772	755	765
33	341.62059	939	891	873	856	816	820	810	773	761	790	777	762	765	767
34	342.16683	956	911	888	853	812	826	798	755	767	801	771	767	778	773
35	342.71309	966	911	864	848	825	825	802	763	761	790	767	778	769	759
36	343.25936	936	907	873	837	823	816	803	765	766	783	773	766	767	759
37	343.80566	944	890	870	839	814	822	794	775	768	778	772	771	768	761
38	344.35197	946	928	875	847	829	832	798	775	766	791	774	770	768	770
39	344.89831	950	901	884	843	825	827	805	766	774	784	768	765	767	756
40	345.44466	961	912	879	854	814	835	798	767	774	796	773	779	765	764
41	345.99102	954	894	884	847	815	840	800	776	768	793	776	772	768	763
42	346.53741	945	912	863	842	813	837	799	769	781	789	769	784	770	768
43	347.08381	947	912	879	837	824	827	785	764	767	785	775	769	772	767
44	347.63024	944	916	872	846	822	831	801	765	765	798	772	774	764	763
45	348.17668	955	917	878	851	811	839	798	774	769	790	786	774	757	766
46	348.72314	952	921	885	846	822	816	798	768	785	780	774	774	771	765
47	349.26961	963	896	879	844	814	837	797	775	778	795	781	768	766	763
48	349.81611	941	910	875	849	815	831	802	772	764	774	767	762	763	768
49	350.36262	974	921	869	869	808	828	796	777	769	790	789	776	763	771
50	350.90915	973	913	884	857	818	828	800	770	787	793	775	769	762	757
51	351.4557	945	923	869	853	816	817	790	775	767	790	781	767	763	769
52	352.00227	963	926	872	871	809	824	817	774	785	785	780	770	765	777
53	352.54885	952	919	883	858	816	835	796	772	769	784	781	763	768	768
54	353.09545	959	927	871	849	815	829	795	776	767	795	776	763	766	762
55	353.64208	968	907	878	859	807	840	801	770	778	791	771	783	772	767
56	354.18872	978	907	885	856	829	831	798	781	780	785	773	767	755	769
57	354.73537	964	907	890	853	826	828	799	772	775	790	783	769	767	767
58	355.28205	977	930	892	854	823	839	806	771	768	791	779	782	762	757
59	355.82874	963	928	895	853	811	839	796	779	768	779	785	776	767	767
60	356.37545	976	924	879	865	813	822	813	775	766	798	781	776	767	760
61	356.92218	992	922	872	854	823	840	801	769	775	793	780	782	776	767
62	357.46893	971	942	883	850	831	838	813	770	789	803	782	777	774	761
63	358.0157	987	922	904	855	822	842	804	762	772	784	786	781	773	773
64	358.56248	979	931	872	859	819	836	804	777	779	788	781	779	775	771
65	359.10928	949	940	903	867	817	853	806	766	782	793	780	778	767	777
66	359.6561	982	919	894	874	831	818	809	768	780	804	774	777	771	775
67	360.20294	978	929	900	862	824	839	806	765	770	795	778	791	765	772
68	360.7498	992	936	896	861	840	832	813	781	773	783	772	773	769	764
69	361.29667	968	940	904	873	835	842	820	777	775	794	785	771	774	772
70	361.84356	979	962	894	870	823	857	801	772	771	790	777	765	777	765
71	362.39047	973	943	910	867	832	844	808	770	772	795	787	776	776	762
72	362.9374	1015	932	888	865	827	826	807	780	774	793	787	781	769	773
73	363.48435	998	940	892	863	815	849	814	773	773	799	780	777	778	759
74	364.03131	984	934	890	862	839	843	806	780	769	810	801	775	781	775
75	364.5783	998	916	889	870	826	838	811	776	785	807	777	774	775	767
76	365.1253	984	969	915	877	831	851	810	777	780	789	783	773	767	768
77	365.67232	1004	938	903	877	831	845	804	770	775	801	781	787	788	769
78	366.21935	1009	945	903	892	828	843	813	781	773	799	784	773	770	770
79	366.76641	1019	945	902	859	844	855	813	774	777	786	775	776	773	775
80	367.31348	1020	958	912	868	840	864	820	772	785	797	787	769	771	764
81	367.86057	988	953	895	883	825	857	804	768	782	807	794	779	780	766
82	368.40768	1006	955	918	876	834	843	805	769	779	800	786	769	777	775
83	368.95481	1027	963	907	874	839	854	812	771	778	794	780	781	770	771
84	369.50195	1011	963	900	876	833	865	809	772	782	803	799	775	778	771
85	370.04912	1013	947	892	888	848	851	802	777	773	808	792	777	779	775
86	370.5963	1011	952	901	879	842	868	813	790	778	803	788	775	780	770
87	371.1435	1024	992	915	890	838	864	839	776	781	804	788	778	777	767
88	371.69072	1005	971	911	889	829	874	819	783	787	796	793	783	786	780
89	372.23795	1038	948	911	894	824	860	812	784	770	803	781	779	778	772
90	372.78521	1027	979	918	875	853	859	817	775	782	795	788	774	774	771
91	373.33248	1028	973	946	905	832	839	815	781	785	815	784	782	781	776
92	373.87977	1028	979	927	892	839	868	818	775	780	793	779	782	769	763
93	374.42708	1049	992	933	907	842	862	820	781	788	802	789	774	778	777
94	374.9744	1055	993	934	887	853	869	831	774	780	804	787	781	780	771
95	375.52175	1036	1011	917	904	864	861	824	775	777	817	793	779	778	777
96	376.06911	1044	989	923	893	855	869	832	781	788	813	789	790	791	777
97	376.61649	1032	1000	927	912	859	863	828	777	781	803	789	788	783	776
98	377.16389	1038	980	929	880	851	878	816	777	789	807	786	789	785	773
99	377.71131	1066	990	942	900	853	881	831	772	785	800	797	777	784	777
100	378.25874	1068	999	945	919	853	871	823	783	789	807	795	791	783	783
101	378.80619	1055	999	951	899	857	864	825	789	780	822	790	774	776	773
102	379.35367	1069	992	937	923	857	884	821	787	784	829	795	781	777	769
103	379.90115	1067	1032	956	911	861	871	831	777	796	806	781	799	782	777
104	380.44866	1071	1011	955	911	866	888	831	786	790	812	781	782	786	769
105	380.99619	1130	1012	950	926	863	882	848	787	777	820	786	797	778	778
106	381.54373	1098	1039	952	929	876	869	834	771	789	809	803	787	790	791
107	382.09129	1119	1028	981	910	861	888	846	790	788	816	792	784	787	764
108	382.63887	1112	1017	933	937	878	894	838	783	787	824	799	791	782	778
109	383.18647	1123	1016	972	928	867	903	843	791	786	817	795	793	792	773
110	383.73408	1124	1070	988	935	877	892	850	789	791	827	797	792	785	777
111	384.28172	1134	1040	975	917	855	882	838	792	791	836	800	805	795	779
112	384.82937	1127	1049	986	943	880	895	850	793	797	812	800	788	790	775
113	385.37704	1143	1062	987	933	884	902	854	790	801	836	811	800	787	781
114	385.92473	1168	1065	1003	953	894	900	839	795	793	831	797	794	786	784
115	386.47243	1152	1088	1017	955	895	916	868	791	795	821	817	796	789	779
116	387.02016	1171	1100	999	963	882	899	844	783	794	839	813	808	781	787
117	387.5679	1179	1078	999	962	898	915	854	789	807	821	810	800	789	792
118	388.11566	1178	1099	1009	971	897	922	866	783	802	834	810	801	787	784
119	388.66344	1211	1121	1005	962	898	931	860	782	806	830	813	803	793	786
120	389.21123	1186	1103	1035	974	899	932	875	807	805	827	799	784	781	801
121	389.75905	1223	1110	1015	976	909	934	881	804	801	851	819	799	792	783
122	390.30688	1216	1122	1027	973	904	946	884	807	801	840	815	801	805	780
123	390.85473	1247	1137	1067	992	934	947	873	797	815	836	824	804	801	789
124	391.4026	1229	1175	1070	1001	923	945	888	808	805	852	819	806	807	791
125	391.95049	1237	1157	1062	1021	917	952	904	808	797	857	825	819	800	794
126	392.49839	1264	1174	1088	1031	939	975	870	816	799	850	829	807	803	794
127	393.04631	1292	1171	1116	1029	928	981	895	797	810	853	828	798	802	812
128	393.59425	1338	1234	1116	1035	943	972	895	817	815	864	830	820	815	800
129	394.14221	1364	1239	1130	1050	952	985	903	822	820	869	845	824	804	795
130	394.69019	1395	1249	1152	1083	963	987	913	818	813	875	851	819	809	797
131	395.23819	1401	1264	1163	1085	966	1032	920	828	823	889	838	826	810	817
132	395.7862	1400	1316	1177	1090	974	1024	920	821	826	875	837	832	812	808
133	396.33423	1428	1319	1226	1111	990	1033	932	824	822	886	851	845	816	821
134	396.88228	1459	1343	1245	1106	1001	1051	942	821	820	903	851	837	826	834
135	397.43035	1530	1392	1243	1144	1000	1071	945	826	835	911	849	832	824	820
136	397.97843	1586	1368	1254	1173	1035	1103	970	832	838	926	865	847	841	798
137	398.52654	1614	1433	1286	1197	1042	1084	970	844	843	908	889	850	840	823
138	399.07466	1671	1464	1330	1215	1083	1121	979	835	857	936	864	855	859	838
139	399.6228	1675	1510	1376	1220	1060	1138	1013	854	871	938	907	873	851	842
140	400.17096	1746	1575	1390	1273	1120	1139	1017	845	866	950	903	884	859	854
141	400.71913	1844	1614	1442	1339	1121	1180	1071	877	882	989	904	891	865	866
142	401.26733	1883	1675	1470	1350	1155	1219	1054	888	897	985	933	888	861	856
143	401.81554	2004	1700	1576	1391	1180	1277	1083	885	889	999	925	895	894	868
144	402.36377	2049	1774	1601	1424	1225	1285	1066	892	911	1011	945	908	896	884
145	402.91202	2082	1904	1670	1493	1248	1323	1119	904	914	1045	984	918	907	884
146	403.46028	2260	1911	1746	1500	1293	1324	1166	917	939	1038	981	923	923	908
147	404.00857	2423	2052	1792	1566	1348	1425	1190	922	948	1077	974	943	930	920
148	404.55687	2501	2145	1896	1695	1350	1492	1237	922	953	1101	1020	956	944	923
149	405.10519	2653	2275	1960	1690	1395	1526	1238	939	967	1139	1026	1007	949	940
150	405.65353	2826	2408	2060	1770	1460	1575	1286	955	974	1166	1058	1017	963	942
151	406.20189	2959	2537	2188	1874	1534	1684	1345	974	997	1180	1081	1024	997	973
152	406.75026	3123	2647	2319	1992	1606	1679	1384	989	1007	1227	1110	1047	985	982
153	407.29865	3270	2766	2388	2070	1630	1820	1425	1001	1033	1283	1136	1088	1014	1015
154	407.84707	3557	2957	2582	2163	1726	1862	1453	1038	1078	1327	1166	1106	1057	1021
155	408.39549	3788	3084	2673	2270	1802	1979	1524	1044	1117	1333	1186	1136	1079	1029
156	408.94394	4000	3319	2798	2470	1887	2104	1605	1077	1124	1408	1254	1148	1100	1061
157	409.49241	4239	3476	3021	2537	2022	2241	1697	1112	1125	1480	1275	1186	1134	1110
158	410.04089	4481	3741	3193	2665	2080	2350	1743	1141	1187	1569	1306	1212	1160	1095
159	410.58939	4724	4010	3347	2820	2203	2473	1792	1165	1225	1584	1379	1253	1167	1129
160	411.13791	5182	4235	3600	2963	2261	2601	1824	1202	1260	1669	1416	1327	1225	1172
161	411.68645	5523	4473	3863	3155	2397	2717	1984	1228	1282	1716	1470	1347	1260	1224
162	412.235	5882	4714	4071	3399	2495	2892	2073	1270	1341	1788	1509	1375	1305	1209
163	412.78358	6171	5134	4332	3570	2715	2979	2210	1307	1364	1833	1576	1462	1345	1297
164	413.33217	6666	5378	4568	3810	2815	3175	2304	1342	1441	1951	1597	1480	1381	1336
165	413.88078	7062	5791	4882	3972	2993	3412	2487	1401	1513	2049	1686	1545	1483	1374
166	414.42941	7556	6136	5196	4266	3207	3581	2580	1419	1503	2180	1768	1572	1536	1450
167	414.97805	8056	6698	5553	4465	3293	3788	2715	1508	1558	2251	1856	1718	1522	1456
168	415.52672	8488	7034	5945	4822	3503	3986	2838	1552	1659	2384	1913	1760	1583	1523
169	416.0754	9187	7411	6336	5004	3755	4308	3038	1612	1675	2442	1996	1827	1661	1557
170	416.6241	9664	7891	6719	5337	3956	4538	3176	1683	1800	2599	2119	1863	1708	1650
171	417.17282	10298	8295	7051	5828	4167	4757	3304	1701	1849	2703	2170	1947	1769	1674
