	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
1	324.1504	880	843	807	862	803	770	776	765	782	777	775	757
2	324.69607	893	818	811	857	792	772	772	759	780	784	775	765
3	325.24175	879	846	808	858	807	763	771	759	780	780	774	758
4	325.78745	887	846	807	835	806	783	771	756	775	780	766	759
5	326.33316	889	831	808	851	793	772	779	757	774	768	781	759
6	326.8789	880	834	812	846	786	768	770	765	772	783	771	763
7	327.42465	888	850	814	856	794	769	773	755	777	786	781	764
8	327.97042	882	836	804	844	796	767	771	762	777	789	773	764
9	328.51621	893	851	815	845	792	771	773	759	781	779	764	761
10	329.06202	899	851	824	842	799	767	782	754	762	773	772	752
11	329.60785	888	827	810	853	789	779	767	752	781	790	775	766
12	330.15369	903	837	806	848	795	767	767	766	775	793	768	766
13	330.69955	896	850	807	847	783	779	780	759	775	782	772	759
14	331.24543	893	853	810	859	776	769	777	762	771	779	773	759
15	331.79133	899	843	815	864	792	776	777	762	776	785	771	764
16	332.33725	907	843	809	851	797	767	785	764	781	776	773	758
17	332.88318	889	861	799	843	799	780	769	758	776	778	767	760
18	333.42913	897	846	812	864	797	769	782	753	779	784	771	757
19	333.9751	896	840	824	850	805	770	784	761	774	786	759	759
20	334.52109	897	844	808	868	803	776	784	756	782	768	771	759
21	335.0671	901	851	818	846	790	770	771	763	778	793	771	771
22	335.61312	901	852	819	851	801	767	777	766	773	770	771	760
23	336.15917	919	842	799	853	805	779	775	762	775	776	767	762
24	336.70523	886	833	806	855	802	771	780	772	783	790	778	760
25	337.2513	886	847	830	857	797	776	781	762	773	782	772	764
26	337.7974	889	859	817	847	797	769	767	765	771	790	777	773
27	338.34352	899	854	826	862	796	772	784	756	777	788	770	762
28	338.88965	910	859	821	864	797	766	760	764	768	784	771	759
29	339.4358	886	841	823	864	795	776	774	759	777	785	778	765
30	339.98197	886	831	818	858	815	783	780	757	780	786	771	768
31	340.52816	916	856	827	862	798	771	777	763	778	789	771	767
32	341.07436	907	849	821	866	799	774	771	767	775	792	772	764
33	341.62059	901	854	818	856	795	776	772	767	774	786	775	760
34	342.16683	892	848	825	866	804	773	781	773	777	784	762	763
35	342.71309	888	851	817	860	807	771	775	761	780	779	773	762
36	343.25936	916	859	822	858	803	767	785	764	774	789	773	774
37	343.80566	917	848	811	857	799	774	780	756	773	780	772	763
38	344.35197	919	860	822	857	812	771	773	764	778	791	768	766
39	344.89831	928	864	816	863	807	786	777	762	770	784	770	770
40	345.44466	918	843	827	849	808	780	779	758	778	782	772	755
41	345.99102	896	854	830	862	813	773	784	763	776	780	769	763
42	346.53741	895	858	820	871	799	777	784	760	774	777	775	759
43	347.08381	901	847	822	868	792	781	778	767	762	780	768	769
44	347.63024	915	854	823	852	802	770	783	766	769	785	770	755
45	348.17668	907	847	809	878	797	784	783	761	782	790	767	761
46	348.72314	904	851	823	866	808	776	779	766	780	789	768	763
47	349.26961	922	844	830	860	801	773	782	763	780	778	779	759
48	349.81611	904	858	833	877	800	778	774	769	774	790	782	767
49	350.36262	924	865	832	860	800	777	775	767	768	784	763	762
50	350.90915	921	871	826	864	798	777	777	765	782	780	775	756
51	351.4557	947	859	824	850	807	780	780	758	773	787	794	759
52	352.00227	894	874	835	870	804	776	781	767	782	789	777	766
53	352.54885	903	858	830	870	809	778	777	764	788	783	769	762
54	353.09545	933	867	816	863	808	783	784	756	786	782	785	766
55	353.64208	915	862	822	868	811	774	776	762	785	786	782	766
56	354.18872	919	860	833	854	815	789	776	773	789	790	772	768
57	354.73537	930	857	833	862	811	782	785	764	773	794	775	772
58	355.28205	922	853	825	864	815	781	787	765	771	783	773	775
59	355.82874	939	860	835	878	812	788	791	772	782	778	774	759
60	356.37545	913	876	832	875	807	775	779	764	774	794	777	766
61	356.92218	929	865	830	877	818	781	777	756	781	792	773	763
62	357.46893	919	872	820	874	816	777	781	763	787	790	778	764
63	358.0157	928	899	825	868	809	781	787	761	789	800	776	772
64	358.56248	924	875	822	876	813	791	778	770	788	796	784	766
65	359.10928	938	873	824	853	831	776	778	769	789	793	772	760
66	359.6561	935	862	823	892	825	787	779	769	778	794	777	758
67	360.20294	944	870	826	869	821	776	782	767	772	785	778	770
68	360.7498	929	885	823	870	808	782	783	769	788	791	785	764
69	361.29667	936	864	833	874	820	780	783	775	791	799	773	759
70	361.84356	929	866	837	898	805	783	783	762	776	803	794	771
71	362.39047	934	876	831	876	800	784	790	768	785	805	786	773
72	362.9374	921	866	834	879	816	782	782	765	790	796	772	778
73	363.48435	944	863	823	880	812	780	779	763	783	795	775	760
74	364.03131	949	883	827	883	803	787	779	764	795	786	774	765
75	364.5783	933	880	828	880	812	785	791	756	791	790	782	769
76	365.1253	934	875	838	882	815	787	788	768	785	805	767	773
77	365.67232	948	874	839	882	819	778	794	763	784	805	774	775
78	366.21935	943	885	836	879	820	789	787	774	787	790	783	772
79	366.76641	945	888	843	886	816	779	796	765	783	786	769	770
80	367.31348	944	895	836	885	816	789	788	763	799	789	784	764
81	367.86057	968	880	838	890	811	790	792	771	793	797	775	777
82	368.40768	966	887	837	894	828	785	783	773	788	792	777	777
83	368.95481	954	892	846	903	813	792	797	766	793	807	778	772
84	369.50195	970	901	842	886	815	783	794	770	788	794	777	782
85	370.04912	953	879	839	903	812	793	791	760	773	792	783	766
86	370.5963	957	884	843	884	819	798	794	768	791	799	790	768
87	371.1435	950	887	843	894	824	781	803	768	786	778	778	770
88	371.69072	955	891	852	883	815	784	795	762	792	794	781	767
89	372.23795	961	904	845	896	820	783	796	768	797	801	778	774
90	372.78521	967	892	845	891	836	790	786	767	792	794	784	775
91	373.33248	964	895	826	917	820	797	795	770	793	797	775	769
92	373.87977	960	886	838	903	839	785	790	771	785	793	779	774
93	374.42708	991	915	856	918	833	789	780	773	792	796	783	773
94	374.9744	970	892	870	909	818	794	800	767	783	798	792	780
95	375.52175	959	901	856	935	821	791	805	767	786	807	780	773
96	376.06911	975	906	862	933	825	786	787	766	806	814	797	773
97	376.61649	983	895	863	933	835	794	796	769	797	807	779	765
98	377.16389	973	926	864	907	826	786	796	771	795	801	785	777
99	377.71131	980	925	868	916	831	788	794	773	791	803	789	776
100	378.25874	984	911	861	927	835	793	810	773	803	814	796	782
101	378.80619	999	921	861	916	840	793	797	768	802	809	778	771
102	379.35367	1012	942	857	927	835	787	809	770	795	794	786	779
103	379.90115	1011	936	877	931	834	791	798	767	794	806	790	776
104	380.44866	1005	920	866	942	820	793	796	771	811	806	790	772
105	380.99619	1030	934	867	939	832	795	808	771	799	816	789	776
106	381.54373	1012	941	883	930	847	798	814	778	798	810	793	775
107	382.09129	1009	943	885	949	844	799	801	773	811	824	794	774
108	382.63887	1010	938	884	958	839	789	800	775	801	819	799	777
109	383.18647	1033	938	882	957	844	797	803	770	801	814	803	778
110	383.73408	1013	950	874	962	852	799	806	776	794	813	790	778
111	384.28172	1061	955	895	960	844	799	807	781	808	804	793	778
112	384.82937	1021	943	885	952	838	807	804	774	812	815	805	774
113	385.37704	1074	946	892	972	848	806	810	774	823	827	794	786
114	385.92473	1063	949	886	968	845	803	810	778	816	828	792	783
115	386.47243	1053	972	893	970	851	807	824	776	808	821	802	773
116	387.02016	1068	973	902	975	865	799	818	774	819	829	796	790
117	387.5679	1089	971	889	973	844	812	816	783	819	829	782	775
118	388.11566	1093	983	904	990	875	802	821	784	828	821	803	786
119	388.66344	1093	971	906	988	860	814	822	775	825	820	806	784
120	389.21123	1089	1018	907	993	877	813	827	778	822	835	808	782
121	389.75905	1099	1003	919	993	856	803	827	777	812	831	798	790
122	390.30688	1108	1007	916	1014	874	811	828	788	814	842	794	799
123	390.85473	1153	1014	930	1003	887	806	822	775	827	823	803	784
124	391.4026	1141	1011	940	1031	867	806	827	775	829	835	815	787
125	391.95049	1141	1019	922	1009	872	831	841	794	829	843	806	798
126	392.49839	1152	1064	927	1054	870	810	847	787	832	845	818	792
127	393.04631	1184	1056	940	1061	875	825	834	776	831	838	811	795
128	393.59425	1205	1076	951	1082	885	830	848	793	852	845	819	794
129	394.14221	1228	1071	966	1090	913	826	844	795	834	854	810	802
130	394.69019	1253	1077	994	1076	900	821	864	785	846	858	819	791
131	395.23819	1261	1072	962	1093	918	835	853	795	840	877	815	798
132	395.7862	1266	1107	978	1158	913	838	863	787	860	868	843	809
133	396.33423	1282	1119	1008	1166	924	841	847	792	856	872	825	798
134	396.88228	1322	1151	996	1155	945	842	864	795	868	873	841	810
135	397.43035	1352	1146	1004	1196	951	843	856	792	872	896	839	809
136	397.97843	1370	1182	1026	1207	954	854	899	800	883	885	834	840
137	398.52654	1396	1159	1044	1215	954	869	889	811	901	913	856	816
138	399.07466	1418	1220	1054	1250	977	863	895	804	903	906	839	814
139	399.6228	1466	1248	1098	1264	970	881	885	809	896	908	873	820
140	400.17096	1527	1272	1096	1312	1005	884	912	809	923	937	861	826
141	400.71913	1557	1316	1120	1419	1038	880	920	817	933	955	879	845
142	401.26733	1581	1365	1148	1419	1032	914	944	826	929	966	890	848
143	401.81554	1708	1388	1186	1475	1048	922	914	824	928	973	891	861
144	402.36377	1749	1409	1180	1516	1087	910	959	831	954	986	890	863
145	402.91202	1836	1464	1219	1592	1095	940	969	838	954	994	916	876
146	403.46028	1874	1519	1246	1600	1114	948	982	854	1002	1019	897	891
147	404.00857	1922	1589	1303	1683	1138	974	1028	858	1014	1033	933	890
148	404.55687	2051	1636	1321	1763	1194	980	1017	863	1040	1051	924	898
149	405.10519	2184	1729	1353	1800	1240	986	1064	877	1049	1072	979	902
150	405.65353	2276	1757	1423	1938	1218	983	1081	873	1076	1093	986	945
151	406.20189	2417	1888	1481	2019	1309	1020	1095	877	1097	1150	982	938
152	406.75026	2534	1915	1526	2110	1345	1050	1153	882	1121	1159	1016	964
153	407.29865	2620	2027	1622	2236	1381	1044	1161	914	1151	1203	1045	969
154	407.84707	2808	2138	1683	2307	1409	1123	1192	915	1190	1230	1078	1010
155	408.39549	3003	2229	1778	2475	1481	1115	1190	929	1233	1281	1087	1027
156	408.94394	3119	2361	1857	2598	1557	1153	1245	961	1279	1294	1133	1050
157	409.49241	3373	2446	1883	2755	1623	1219	1280	944	1274	1384	1136	1065
158	410.04089	3581	2599	2032	2919	1682	1223	1332	978	1307	1391	1177	1093
159	410.58939	3722	2768	2115	3120	1750	1235	1394	982	1360	1448	1234	1101
160	411.13791	4030	2977	2199	3321	1861	1283	1417	989	1456	1489	1256	1156
161	411.68645	4279	3088	2303	3480	1944	1360	1479	1040	1503	1530	1279	1175
162	412.235	4544	3252	2446	3692	1955	1394	1511	1057	1565	1578	1319	1191
163	412.78358	4807	3483	2604	3934	2096	1451	1605	1051	1630	1665	1363	1251
164	413.33217	5165	3677	2637	4173	2195	1493	1684	1105	1697	1743	1420	1257
165	413.88078	5447	3933	2877	4542	2310	1587	1745	1136	1756	1877	1474	1326
166	414.42941	5915	4169	3009	4737	2373	1592	1836	1158	1794	1912	1496	1323
167	414.97805	6151	4361	3175	4975	2515	1665	1902	1168	1898	1984	1594	1388
168	415.52672	6558	4675	3402	5340	2723	1741	1974	1215	2043	2044	1668	1411
169	416.0754	7005	4955	3558	5647	2839	1843	2114	1249	2111	2202	1718	1508
170	416.6241	7390	5210	3817	6049	2968	1914	2121	1287	2187	2305	1798	1542
