	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
1	324.1504	903	843	802	793	782	762	757	757	750	764	828
2	324.69607	883	824	812	779	771	759	762	761	753	763	833
3	325.24175	896	848	812	786	779	765	767	763	760	761	856
4	325.78745	905	837	816	785	783	763	766	754	755	763	818
5	326.33316	890	857	806	795	766	754	755	758	754	757	853
6	326.8789	900	841	819	787	770	760	769	754	752	767	837
7	327.42465	899	831	818	792	781	760	763	767	749	761	850
8	327.97042	909	843	818	780	777	773	763	758	755	767	852
9	328.51621	902	841	828	775	774	767	755	761	756	770	841
10	329.06202	889	844	810	797	771	764	768	766	749	762	856
11	329.60785	890	841	803	790	763	764	763	751	762	759	845
12	330.15369	908	850	813	785	783	765	756	769	755	766	852
13	330.69955	891	835	794	786	779	769	756	765	752	768	851
14	331.24543	886	849	802	786	779	766	768	762	747	756	841
15	331.79133	899	837	804	790	771	766	763	765	747	765	849
16	332.33725	907	844	817	791	777	755	757	763	752	762	837
17	332.88318	900	848	807	799	774	767	746	759	749	763	841
18	333.42913	895	851	820	790	768	760	757	757	750	762	840
19	333.9751	920	842	827	787	767	765	762	766	757	767	850
20	334.52109	900	853	815	785	783	754	763	761	757	759	841
21	335.0671	899	857	804	787	781	768	762	755	754	767	852
22	335.61312	899	855	805	789	781	758	752	756	749	766	844
23	336.15917	902	844	813	785	779	762	761	760	753	766	854
24	336.70523	906	843	813	780	771	757	765	764	760	764	846
25	337.2513	914	848	816	798	781	770	759	758	756	764	857
26	337.7974	900	847	804	799	776	762	760	761	752	757	840
27	338.34352	900	836	811	781	779	766	764	765	751	773	834
28	338.88965	903	854	812	794	778	766	759	763	756	767	844
29	339.4358	912	845	824	783	774	763	760	766	762	764	831
30	339.98197	894	845	813	797	778	767	761	750	755	761	845
31	340.52816	910	862	799	793	771	778	766	762	749	766	826
32	341.07436	904	847	809	794	773	755	770	765	752	773	851
33	341.62059	919	836	816	778	768	765	762	763	749	766	841
34	342.16683	901	847	813	804	782	770	759	760	744	767	852
35	342.71309	905	839	817	782	778	761	767	765	748	767	851
36	343.25936	909	853	802	788	785	770	754	767	759	767	865
37	343.80566	923	861	819	799	782	767	753	752	756	762	846
38	344.35197	900	840	820	780	781	773	767	761	750	768	839
39	344.89831	900	855	814	776	780	768	763	756	748	775	840
40	345.44466	904	847	828	791	768	762	762	755	752	767	847
41	345.99102	913	849	819	799	777	771	756	764	752	763	847
42	346.53741	916	853	806	798	773	773	759	759	759	767	862
43	347.08381	917	850	826	788	769	767	753	760	756	767	856
44	347.63024	929	849	810	805	776	768	764	758	757	768	856
45	348.17668	921	853	819	797	781	780	761	758	753	764	848
46	348.72314	908	853	817	782	786	770	757	760	756	772	860
47	349.26961	915	857	816	796	781	776	767	765	761	774	854
48	349.81611	898	852	819	794	776	767	758	767	744	768	856
49	350.36262	906	850	820	790	777	765	764	761	758	765	872
50	350.90915	928	856	833	801	775	772	762	766	749	762	849
51	351.4557	922	861	811	789	775	770	761	769	753	765	872
52	352.00227	927	860	829	796	794	774	763	759	766	770	870
53	352.54885	914	863	816	799	777	771	769	761	752	759	882
54	353.09545	925	856	813	798	782	771	769	767	756	774	853
55	353.64208	936	853	809	808	790	774	756	765	754	771	849
56	354.18872	925	870	832	787	779	768	762	767	758	772	865
57	354.73537	929	868	829	789	783	767	762	779	754	762	853
58	355.28205	951	855	824	798	779	780	760	767	759	776	857
59	355.82874	910	853	816	805	779	767	753	763	759	769	871
60	356.37545	917	890	815	798	778	768	757	770	749	772	859
61	356.92218	933	880	832	795	780	765	769	765	756	770	873
62	357.46893	956	857	827	799	783	769	759	766	757	768	865
63	358.0157	948	870	813	792	785	764	771	771	759	771	867
64	358.56248	934	859	821	798	799	768	769	766	748	777	863
65	359.10928	931	864	839	810	777	767	762	755	757	768	853
66	359.6561	920	886	807	785	781	764	764	758	758	771	858
67	360.20294	971	865	823	806	777	768	772	767	759	765	863
68	360.7498	943	856	821	789	780	770	764	767	755	776	867
69	361.29667	952	858	828	793	773	770	763	770	756	774	883
70	361.84356	944	862	831	796	790	771	771	765	747	767	871
71	362.39047	942	876	831	790	785	769	766	774	753	767	862
72	362.9374	947	895	829	800	783	777	770	761	751	770	865
73	363.48435	935	872	836	792	784	763	768	778	753	772	845
74	364.03131	959	875	825	810	778	773	764	776	749	776	863
75	364.5783	926	892	826	802	789	778	759	769	752	774	873
76	365.1253	940	857	837	798	793	770	763	769	751	771	868
77	365.67232	945	877	831	797	788	780	772	773	760	769	902
78	366.21935	952	880	826	802	777	775	767	767	769	767	881
79	366.76641	945	908	834	810	782	778	763	756	767	777	884
80	367.31348	959	871	826	809	776	779	768	769	755	776	879
81	367.86057	961	879	826	806	787	769	768	778	758	767	865
82	368.40768	959	883	828	812	774	769	767	772	757	772	873
83	368.95481	968	878	837	804	779	774	760	765	756	772	887
84	369.50195	955	895	837	808	783	783	782	767	764	779	874
85	370.04912	960	885	847	808	793	783	752	763	755	768	887
86	370.5963	968	883	838	797	793	771	760	770	749	769	867
87	371.1435	960	898	854	819	782	774	769	764	757	768	897
88	371.69072	956	895	835	808	791	775	767	763	758	783	900
89	372.23795	972	888	830	813	791	773	775	765	757	775	882
90	372.78521	965	889	837	804	782	771	767	770	757	773	892
91	373.33248	989	899	841	824	781	768	760	772	761	776	891
92	373.87977	960	891	834	810	779	780	769	764	766	766	904
93	374.42708	979	924	848	813	797	768	764	774	753	774	895
94	374.9744	982	884	853	808	791	778	766	772	760	774	903
95	375.52175	987	900	848	817	789	770	759	782	755	778	915
96	376.06911	968	901	837	816	795	781	772	775	753	774	915
97	376.61649	990	903	854	823	787	781	767	763	761	774	902
98	377.16389	987	912	831	809	801	786	768	762	757	780	906
99	377.71131	978	899	850	830	786	785	778	769	748	772	915
100	378.25874	1004	923	860	814	791	774	763	773	763	773	909
101	378.80619	1016	894	859	812	791	786	774	767	761	786	918
102	379.35367	995	918	859	822	793	778	774	771	760	776	911
103	379.90115	996	909	868	828	803	785	765	775	760	779	904
104	380.44866	1041	935	857	808	795	791	772	775	763	782	915
105	380.99619	1029	921	862	833	800	789	769	772	765	781	938
106	381.54373	1042	916	870	813	790	785	771	779	764	774	924
107	382.09129	1035	915	861	816	805	787	771	772	759	779	934
108	382.63887	1052	940	882	831	792	778	768	768	759	778	935
109	383.18647	1014	926	870	816	799	777	779	770	758	791	953
110	383.73408	1041	953	892	826	795	780	770	773	754	782	956
111	384.28172	1049	949	868	831	801	780	786	786	757	787	961
112	384.82937	1075	945	871	835	794	775	774	771	757	778	947
113	385.37704	1041	968	878	848	798	782	763	773	767	788	979
114	385.92473	1086	952	866	842	797	787	785	765	767	777	956
115	386.47243	1073	957	888	837	800	787	767	775	760	777	973
116	387.02016	1094	958	894	842	804	775	777	781	762	783	967
117	387.5679	1085	976	899	834	799	787	772	779	761	792	986
118	388.11566	1077	969	886	827	807	788	776	787	763	787	987
119	388.66344	1108	954	892	833	814	793	769	778	762	782	973
120	389.21123	1126	979	902	863	817	790	779	787	753	789	996
121	389.75905	1098	966	908	837	816	804	783	776	768	786	991
122	390.30688	1104	984	898	857	810	790	791	787	767	793	998
123	390.85473	1130	995	913	858	823	801	787	790	765	800	999
124	391.4026	1151	998	899	843	815	795	785	787	765	793	983
125	391.95049	1163	1029	913	863	826	789	780	783	766	785	1033
126	392.49839	1189	1031	921	866	806	802	784	781	760	782	1030
127	393.04631	1188	1038	936	870	820	797	782	791	764	798	1048
128	393.59425	1216	1044	920	861	835	804	781	789	772	798	1037
129	394.14221	1194	1063	932	880	829	809	785	787	763	794	1072
130	394.69019	1243	1082	947	883	836	800	785	787	768	792	1094
131	395.23819	1293	1086	960	887	836	813	798	792	767	811	1092
132	395.7862	1311	1080	945	900	834	807	794	784	767	808	1126
133	396.33423	1311	1122	967	879	850	810	789	801	781	811	1118
134	396.88228	1361	1125	989	894	845	806	789	799	775	810	1138
135	397.43035	1360	1150	997	927	840	818	804	814	776	804	1172
136	397.97843	1432	1176	1016	925	858	817	800	805	775	814	1182
137	398.52654	1465	1182	1043	929	865	809	810	805	775	818	1188
138	399.07466	1502	1225	1018	955	867	841	801	802	773	809	1215
139	399.6228	1525	1276	1069	944	883	838	800	826	773	820	1275
140	400.17096	1606	1291	1084	952	885	832	818	818	776	834	1273
141	400.71913	1670	1307	1116	955	892	844	828	826	779	847	1323
142	401.26733	1667	1399	1130	982	903	854	826	824	794	851	1377
143	401.81554	1749	1383	1172	983	899	861	828	831	787	856	1408
144	402.36377	1827	1424	1208	1018	906	861	831	820	782	843	1420
145	402.91202	1916	1471	1208	1025	927	862	832	843	788	841	1486
146	403.46028	1999	1566	1252	1053	952	876	845	839	800	852	1530
147	404.00857	2131	1618	1271	1095	949	891	836	854	805	875	1631
148	404.55687	2199	1684	1320	1103	982	888	849	855	805	887	1690
149	405.10519	2317	1718	1383	1145	991	887	854	864	801	889	1767
150	405.65353	2440	1834	1421	1178	997	928	874	871	795	904	1851
151	406.20189	2571	1902	1510	1173	1006	946	880	896	805	899	1934
152	406.75026	2732	1983	1526	1216	1054	929	874	889	817	939	2016
153	407.29865	2895	2108	1576	1256	1074	965	893	920	824	932	2092
154	407.84707	3061	2211	1635	1311	1079	977	902	919	818	933	2222
155	408.39549	3147	2331	1695	1331	1100	1009	896	935	831	965	2362
156	408.94394	3395	2469	1793	1425	1181	1033	924	944	832	998	2437
157	409.49241	3639	2603	1891	1470	1186	1039	948	948	826	992	2623
158	410.04089	3880	2776	1956	1489	1205	1059	947	962	856	997	2818
159	410.58939	4203	2995	2055	1579	1265	1092	964	961	845	1024	2931
160	411.13791	4373	3082	2194	1632	1273	1110	999	1019	852	1057	3022
161	411.68645	4695	3189	2317	1719	1351	1168	1030	1035	851	1057	3275
162	412.235	4990	3458	2407	1773	1386	1179	1031	1046	875	1097	3417
163	412.78358	5389	3635	2523	1846	1406	1214	1043	1069	877	1135	3623
164	413.33217	5691	3922	2735	1937	1451	1225	1093	1055	890	1164	3857
165	413.88078	6084	4127	2814	2019	1503	1279	1097	1112	901	1177	4084
166	414.42941	6446	4351	2992	2028	1594	1295	1127	1162	902	1221	4391
167	414.97805	6903	4644	3150	2251	1617	1353	1156	1179	924	1259	4678
168	415.52672	7313	4921	3367	2271	1730	1383	1193	1210	935	1294	4869
169	416.0754	7810	5130	3458	2437	1777	1394	1177	1257	966	1333	5220
170	416.6241	8410	5534	3666	2553	1843	1439	1248	1267	957	1336	5612
171	417.17282	8750	5828	3859	2640	1960	1487	1268	1293	948	1391	5862
172	417.72156	9243	6092	4058	2764	1989	1572	1311	1331	980	1464	6194
173	418.27031	9938	6569	4317	2879	2076	1580	1347	1397	1004	1484	6416
174	418.81908	10529	6812	4561	3008	2135	1693	1375	1442	998	1513	6856
175	419.36787	11139	7357	4759	3148	2261	1762	1467	1455	1063	1590	7377
176	419.91668	11747	7741	5081	3339	2394	1813	1458	1493	1056	1603	7603
177	420.46551	12263	8123	5261	3521	2478	1812	1512	1545	1058	1691	8031
178	421.01435	13156	8566	5603	3682	2611	1913	1518	1604	1079	1712	8472
179	421.56322	13763	8991	5750	3767	2693	1978	1588	1656	1099	1777	9061
180	422.1121	14526	9519	6056	3971	2743	2025	1625	1700	1150	1834	9522
181	422.661	15355	10021	6448	4150	2841	2204	1719	1714	1113	1887	9959
182	423.20991	16182	10338	6740	4439	2938	2205	1738	1764	1151	1966	10455
183	423.75885	16731	10910	7045	4486	3100	2258	1755	1863	1196	1995	10864
184	424.3078	17597	11430	7340	4705	3238	2367	1858	1889	1222	2078	11493
185	424.85677	18507	12030	7536	4841	3324	2392	1933	1996	1224	2134	12203
186	425.40576	19368	12499	7978	5011	3455	2502	1958	2020	1237	2177	12580
187	425.95477	20101	13138	8423	5211	3614	2610	1994	2078	1284	2229	13073
188	426.5038	21040	13533	8705	5508	3758	2696	2059	2125	1300	2293	13600
189	427.05284	21912	14091	9107	5683	3762	2763	2124	2192	1324	2325	14096
190	427.6019	22787	14736	9424	5861	3968	2786	2139	2274	1360	2392	15012
191	428.15098	23681	15469	9677	6228	4106	2910	2198	2349	1379	2481	15360
192	428.70008	24601	15763	10107	6352	4240	2942	2279	2398	1404	2645	15819
193	429.2492	25453	16410	10314	6565	4392	3053	2315	2420	1436	2677	16451
194	429.79833	26279	16990	10770	6801	4481	3198	2407	2474	1438	2726	17140
195	430.34748	27239	17474	11007	6919	4681	3193	2469	2562	1451	2776	17552
196	430.89665	28361	18139	11525	7278	4785	3387	2509	2683	1486	2847	18033
197	431.44584	29179	18670	11805	7518	4876	3421	2592	2785	1550	2904	18837
198	431.99505	29955	19206	12158	7636	5055	3514	2676	2759	1587	2959	19243
199	432.54427	30671	19812	12600	7814	5272	3608	2697	2853	1553	2961	20014
200	433.09352	31789	20543	13062	8133	5268	3767	2775	2874	1586	3082	20493
201	433.64278	32730	21092	13234	8195	5440	3783	2794	2961	1625	3161	21183
202	434.19206	33395	21611	13468	8498	5537	3904	2847	2990	1675	3233	21835
203	434.74135	34418	22398	14049	8604	5719	3942	2936	3116	1644	3306	22399
204	435.29067	35250	22546	14259	8944	5798	3957	2965	3118	1721	3346	22655
205	435.84	35721	23286	14517	9077	5976	4103	3037	3183	1733	3425	23411
206	436.38935	36747	23566	14734	9271	6010	4168	3027	3321	1745	3455	23879
207	436.93872	37464	24182	15307	9619	6129	4255	3152	3337	1741	3542	24239
208	437.48811	38575	24731	15504	9724	6282	4349	3220	3399	1769	3585	25123
209	438.03751	39117	25215	15685	9740	6354	4357	3207	3486	1735	3669	25335
210	438.58694	39890	25693	16084	9959	6482	4443	3288	3479	1769	3654	25746
211	439.13638	40434	26028	16117	10213	6572	4499	3308	3530	1876	3734	26345
212	439.68584	41016	26414	16515	10278	6652	4622	3436	3589	1874	3797	26636
213	440.23532	41979	26988	16872	10507	6793	4660	3417	3628	1876	3781	27411
214	440.78481	42516	27275	17258	10602	6879	4764	3503	3714	1915	3803	27566
215	441.33432	43158	27733	17452	10860	7038	4742	3447	3747	1895	3955	28061
216	441.88386	43434	28255	17514	10848	7110	4883	3558	3737	1892	3966	28504
217	442.43341	44161	28543	17892	11210	7155	4995	3568	3832	1935	4016	28787
218	442.98297	45157	28880	18069	11327	7289	4921	3591	3900	1952	4024	29165
219	443.53256	45356	29168	18222	11256	7521	5016	3644	3896	1947	4038	29681
220	444.08217	45639	29488	18408	11545	7411	4991	3593	4023	1980	4134	29536
221	444.63179	46392	29647	18527	11615	7506	5079	3729	4034	2011	4160	30219
222	445.18143	46838	30023	18784	11717	7548	5127	3704	4043	2006	4127	30495
223	445.73109	47256	30242	19062	11669	7700	5108	3740	4070	2027	4226	30708
224	446.28076	47550	30722	19132	11771	7597	5218	3720	4044	2028	4213	30994
225	446.83046	47882	30604	19202	11836	7619	5212	3764	4080	2036	4198	31395
226	447.38017	47957	31047	19217	12011	7827	5248	3881	4212	2050	4300	31422
227	447.9299	48407	31094	19604	12146	7749	5210	3787	4118	2035	4280	31605
