,Species,PubName,lambda,lamSE,n_lam,country,genus
1,K_has,Bz KHC,9.607659099,2.096006711,9,Bz,k
2,,Bz LLC,2.156925901,0.339967618,2,Bz,c
3,M_chi,Bz MSH,2.090658064,1.255135155,3,Bz,h
4,P_ann,Bz PAN,5.404152203,2.486952441,6,Bz,p
5,P_mor,Bz PMO,15.22538465,1.603737688,8,Bz,p
6,,Bz SRD,1.51251874,NA,1,Bz,h
7,,Bz SVD,1.999160368,0.255933131,9,Bz,h
8,M_SVU,Bz SVU,1.503137057,0.300007217,4,Bz,h
9,,Bz VAD,3.488499284,0.723813753,2,Bz,h
10,,Bz VSD,1.875980267,0.684656987,2,Bz,h
11,,Ja LSZ,1.568329357,NA,1,Ja,h
12,,Ja PJA,1.417798429,NA,1,Ja,p
13,,Ja PMC,5.078722525,0.789599501,2,Ja,p
14,,Jp CSE,2.744815,NA,1,Jp,s
15,V_hil,Jp VHI,0.9790189,NA,1,Jp,v
16,P_EGD,Pa EGD,0.606911636,0.150427025,6,Pa,p
17,,Pa LAU,0.956761784,0.100250823,3,Pa,h
18,P_LLL,Pa LLL,2.709621034,0.752633875,9,Pa,h
19,,Pa MFU,3.043482225,0.462216648,7,Pa,h
20,,Pa MGL,2.487760197,0.575920028,7,Pa,h
21,,Pa NKU,0.890018467,0.11774896,6,Pa,p
22,P_SFM,Pa SFM,2.401435162,0.561306402,10,Pa,p
23,M_SMU,Pa SMU,2.313186634,0.759749162,8,Pa,h
24,,Pr LHM,0.144144483,NA,1,Pr,h
25,LSD,Pr LSD,1.900115029,0.637857885,4,Pr,kh
26,K_SPU,Pr SPU,0.800440142,0.340750555,2,Pr,kh
27,,Pr SSU,1.313900825,NA,1,Pr,kh
28,,Pr WCU,2.334106811,0.774828683,4,Pr,k
29,,Ro AG,2.73229241,0.878144157,9,Ro,h
30,,Ro CMU,3.183134556,1.247504585,7,Ro,k
31,DU,Ro DU,2.460236103,0.905636988,6,Ro,h
32,P_GPH,Ro GPH,0.989269333,0.125801344,7,Ro,p
33,IR,Ro IR,1.492921622,0.406559947,5,Ro,h
34,,Ro ODH,1.866348011,0.329972394,15,Ro,h
35,RD,Ro RD,2.050166638,0.711543671,5,Ro,h
36,P_WLU,Ro WLU,1.634115779,0.301173937,6,Ro,p
